OBJECTID,GEOID10,Sum_ViolentCrime,Sum_PropertyCrime,Shape__Area,Shape__Length
1171,261635249001036,0,0,543957.095214844,3266.95892485072
1172,261635249001060,0,1,107668.318115234,1315.20306077184
1173,261635238004000,0,1,381945.41796875,2531.34332202211
1174,261635232001019,1,1,276410.373291016,2209.62052295007
1175,261635003001010,3,7,215442.040039063,1970.26330756815
1176,261635001004006,1,1,233489.362304688,2026.23786180612
1177,261635164001003,0,0,541969.297363281,3542.20022632996
1178,261635164001012,0,2,248881.848388672,3003.10384974828
1179,261635164001016,0,0,133503.664550781,1464.10348856463
1180,261635152002020,0,0,173809.147460938,1761.39151390113
1181,261635152001002,2,1,271187.611083984,2501.24267822504
1182,261635152002022,1,0,97853.1994628906,1252.27305821499
1183,261635017001004,2,4,217865.61328125,1979.97076516244
1184,261635016001001,2,4,165220.840820313,1770.95758499713
1185,261635016002025,5,11,1924846.82177734,5900.03237160322
1186,261635016001016,2,2,176196.07421875,1852.95679320689
1187,261635016001017,2,5,186927.471679688,1885.27355667492
1188,261635018004014,2,2,298830.907714844,2426.95373516569
1189,261635018004013,0,2,255931.129882813,2310.71586711115
1190,261635309002014,0,0,154185.505859375,1641.51410589626
1191,261635311001010,0,0,129153.467041016,1572.26965724046
1192,261635334001001,0,1,134756.411621094,1542.24445578269
1193,261635334001002,0,1,134610.316162109,1541.47222543051
1194,261635311001013,2,1,144010.010742188,1613.71616449401
1195,261635078002020,0,0,113983.211914063,1426.73545720053
1196,261635073003004,0,0,93640.5932617188,1234.92389067625
1197,261635249001075,0,1,96038.2983398438,1379.16029524997
1198,261635249001019,0,1,194789.71875,1934.15129017069
1199,261635249001062,0,1,251157.102294922,2077.47858568139
1200,261635249001061,0,0,110992.203857422,1330.16165808941
1201,261635232001016,0,2,280444.246582031,2230.81993126564
1202,261635238004011,0,2,217248.761230469,2041.38611717191
1203,261635232001020,0,0,275513.831542969,2206.55021455966
1204,261635110003005,1,0,253963.896972656,2269.38267400924
1205,261635048002007,1,0,256814.754394531,2441.68405718984
1206,261635110003035,0,2,239022.33984375,2227.82827810148
1207,261635110004000,0,2,217991.673339844,2077.77606201817
1208,261635232002017,0,1,194538.306640625,1855.87163144173
1209,261635010001007,2,4,263437.010253906,2209.00364299628
1210,261635001003008,1,1,181965.551757813,1777.18884494624
1211,261635001002010,0,4,363761.245605469,2877.39945604194
1212,261635001002012,1,4,220025.103515625,2004.25956086095
1213,261635007004010,3,11,480799.543457031,3632.75418872816
1214,261635007003009,2,14,476563.079589844,3625.60818794804
1215,261635007003014,5,10,253552.94140625,2159.62492280301
1216,261635322001007,0,0,368435.860107422,2591.01819364521
1217,261639855001072,0,0,950918.235595703,4027.50866163746
1218,261635141001006,0,0,139725.906738281,1520.11862497729
1219,261635224001021,0,1,130667.413330078,1534.03414916867
1220,261635224001004,0,1,60365.03125,1867.33365345863
1221,261635312001008,1,2,332482.907226563,2446.67603648888
1222,261635312003014,0,0,8816.3056640625,409.347099376028
1223,261635319001004,0,0,88874.9877929688,1199.18365266709
1224,261635080002013,0,0,149848.199707031,1625.25033887838
1225,261635079001001,3,8,619831.728515625,4671.11683758024
1226,261635383002003,2,3,249701.786132813,2406.32450329317
1227,261635383001002,4,1,78042.88671875,2025.03044081298
1228,261635079004006,0,0,243612.98828125,2126.98217876531
1229,261635383002009,2,1,257127.703613281,2345.16891847994
1230,261635080001002,2,4,281410.46484375,2594.03961516987
1231,261635080001019,1,3,204551.997070313,2020.65636732997
1232,261635079001000,0,9,395772.782226563,3248.76049547327
1233,261635078002005,2,4,1472542.96191406,5948.53416873713
1234,261635344001014,4,4,242766.290283203,2359.85074179154
1235,261635366004021,3,11,92468.1040039063,3183.11717568357
1236,261635342003000,0,2,171852.048828125,1838.57430118672
1237,261635366003006,0,3,434920.133789063,3028.56591628029
1238,261635365001003,1,4,694743.86328125,5464.94427249806
1239,261635342002013,0,2,314309.426757813,2714.40155479864
1240,261635342001009,0,1,333552.120117188,2885.31088389713
1241,261635343001001,2,1,160928.486328125,1691.87859525561
1242,261635390001009,1,4,226637.233886719,2240.98685608458
1243,261635381002022,0,0,250719.988769531,2270.97964580542
1244,261635080002006,1,0,173806.788574219,2488.81766580799
1245,261635081004005,1,2,197821.279785156,1967.91955902683
1246,261635334001014,1,2,95149.1843261719,1393.99302778514
1247,261635334002014,0,0,24755.0380859375,716.57501952632
1248,261635334002015,0,0,156885.483398438,1722.00426993593
1249,261635332002007,0,1,283360.997314453,2552.2585679248
1250,261635334002000,0,2,210713.784423828,1998.3125067828
1251,261635073003035,1,0,217465.608398438,1974.51873221967
1252,261635071003003,0,2,244918.258300781,2301.53505625174
1253,261635071001008,1,3,138314.867675781,1543.572271053
1254,261635072002010,0,3,234792.286621094,2297.08599290775
1255,261635072002013,3,0,219875.974121094,2015.43475541401
1256,261635072002014,1,1,156023.033203125,1696.09361557331
1257,261635072002016,1,0,78042.7705078125,1210.09989993039
1258,261635050002009,8,6,220471.690917969,2088.4091229336
1259,261635049004008,0,1,214769.508789063,1959.86643112371
1260,261635050001003,1,0,166248.618164063,1730.72574575457
1261,261635049004007,1,1,213913.17578125,1958.09291116591
1262,261635017002009,1,0,191490.790039063,1924.86802389784
1263,261635017002020,0,4,191553.309570313,1965.28811304537
1264,261635018004011,0,3,295757.433105469,2381.6942977513
1265,261635188002025,0,0,160680.929931641,1852.79016282074
1266,261635220001006,3,0,167175.221679688,2007.67226996178
1267,261635215001036,0,3,452265.526367188,2707.24723769265
1268,261635428001003,0,2,284425.626464844,2406.61089951364
1269,261635153002011,1,0,60357.18359375,1044.60730311051
1270,261635172002032,2,5,73835.7468261719,1124.13951549531
1271,261635172001030,2,17,222298.473144531,1963.02767720172
1272,261635172001039,2,16,124739.608398438,1413.85615783085
1273,261635172001028,0,15,632546.536376953,3714.79716665584
1274,261635457001014,2,3,230275.743896484,2104.75111608491
1275,261635457001015,0,2,243226.760742188,2126.99653744123
