X,Y,OBJECTID,PARCEL_ID,addcombo,PROP_CITY_NM,PROP_STATE,PROP_ZIP_CD,FINAL_BID_AMT
13427831.357939630746841,321529.868766397237778,5225,22101086.,12220 STOUT,DETROIT,MI,48228,
13427832.75492125749588,321489.956364825367928,5226,22101085.,12210 STOUT,DETROIT,MI,48228,
13428694.872703418135643,315731.935367450118065,5227,22097458.,9096 VAUGHAN,DETROIT,MI,48228,
13428389.88418635725975,319191.519685044884682,5228,22098501.009,11351 VAUGHAN,DETROIT,MI,48228,
13428053.76771654188633,315356.669291332364082,5229,22101004.,9028 STOUT,DETROIT,MI,48228,
13428709.816929131746292,315026.362860888242722,5230,22097439.,8882 VAUGHAN,DETROIT,MI,48228,
13427568.067257210612297,336807.078412070870399,5231,22099273.,17382 HEYDEN,DETROIT,MI,48219,
13428211.270997375249863,311421.533136487007141,5232,22100976.,7752 STOUT,DETROIT,MI,48228,
13425589.831692919135094,340433.856299206614494,5233,22106676.,19020 PIERSON,DETROIT,MI,48219,
13426846.531824141740799,339389.141404196619987,5234,22101441.,18492 STOUT,DETROIT,MI,48219,
13423370.980314955115318,310147.321194231510162,5235,22115174.,7501 DOLPHIN,DETROIT,MI,48239,
13422680.287729665637016,308897.998359575867653,5236,22116716.,7224 CHATHAM,DETROIT,MI,48239,
13422649.779527559876442,310777.828412070870399,5237,22116600.,7661 LAMPHERE,DETROIT,MI,48239,
13423281.443569555878639,309562.0501968562603,5238,22115453.,7352 DACOSTA,DETROIT,MI,48239,1300
13426410.656824141740799,330624.677165359258652,5239,22105262.,15350 BRAILE,DETROIT,MI,48223,
13427766.840551182627678,328772.670931756496429,5240,22099725.,14855 HEYDEN,DETROIT,MI,48223,6900
13424693.941272959113121,331086.71259842813015,5241,22110175.,15453 WESTBROOK,DETROIT,MI,48223,
13425246.297572180628777,329717.734251961112022,5242,22109114.,15090 BLACKSTONE,DETROIT,MI,48223,
13428384.844816267490387,314885.59251968562603,5243,22098904.,8856 HEYDEN,DETROIT,MI,48228,
13428385.503608927130699,314845.609251961112022,5244,22098903.,8848 HEYDEN,DETROIT,MI,48228,
13427613.569553807377815,310656.154199481010437,5245,22103560.,7600 PATTON,DETROIT,MI,48228,
13429122.458989500999451,308534.366469815373421,5246,22097158.,6803 EVERGREEN,DETROIT,MI,48228,
13423238.503280833363533,342829.61581364274025,5247,22112118.,19742 BURGESS,DETROIT,MI,48219,
13427071.335958,328764.35662730038166,5248,22102542.,14856 FIELDING,DETROIT,MI,48223,
13423736.947178483009338,309683.928477689623833,5249,22114579.,7403 ROCKDALE,DETROIT,MI,48239,11900
13427933.191601052880287,310564.174212604761124,5250,22102213.,7446 FIELDING,DETROIT,MI,48228,
13428198.91666667163372,311701.23228345811367,5251,22100984.,7806 STOUT,DETROIT,MI,48228,
13428703.525918632745743,307151.578740164637566,5252,22098727.,6400 HEYDEN,DETROIT,MI,48228,
13426846.270341202616692,311441.296587929129601,5253,22106154.001,7800 PIERSON,DETROIT,MI,48228,
13422557.43996062874794,343694.869094491004944,5254,22113537-8,19960 LAHSER,DETROIT,MI,48219,
13422743.163713917136192,342187.015419945120811,5255,22112860.,19451 GREYDALE,DETROIT,MI,48219,
13423956.242782145738602,341233.806102365255356,5256,22110689.,19210 BENTLER,DETROIT,MI,48219,
13426647.575787395238876,343020.207020998001099,5257,22101474-5,19752 STOUT,DETROIT,MI,48219,
13427454.505577430129051,339371.325459316372871,5258,22099339.,18484 HEYDEN,DETROIT,MI,48219,
13422722.841535434126854,309954.376968502998352,5259,22116619.,7467 LAMPHERE,DETROIT,MI,48239,7400
13423011.397965878248215,310411.954396322369576,5260,22116027.,7557 DACOSTA,DETROIT,MI,48239,
13427432.060367450118065,344429.084317579865456,5261,22097996.021,20078 VAUGHAN,DETROIT,MI,48219,18200
13422559.146325454115868,343653.640419945120811,5262,22113535-6,19954 LAHSER,DETROIT,MI,48219,
13426738.118766397237778,337689.258530184626579,5263,22101629.,17639 STOUT,DETROIT,MI,48219,
13427128.949475064873695,336474.381561681628227,5264,22100622.,17321 KENTFIELD,DETROIT,MI,48219,
13427131.018044620752335,336434.392060369253159,5265,22100623.,17313 KENTFIELD,DETROIT,MI,48219,
13427921.717847764492035,336937.391076117753983,5266,22096207-8,17405 EVERGREEN,DETROIT,MI,48219,
13423012.65255905687809,343609.494094491004944,5267,22112198.,19947 BURGESS,DETROIT,MI,48219,11000
13425698.721784770488739,336385.716863512992859,5268,22106602.,17282 PIERSON,DETROIT,MI,48219,
13427727.046916,335698.375656172633171,5269,22098199.,17125 VAUGHAN,DETROIT,MI,48219,
13427273.346784770488739,337289.291994750499725,5270,22100321.,17550 KENTFIELD,DETROIT,MI,48219,
13426711.39337269961834,333294.947834640741348,5271,22103045.,16183 FIELDING,DETROIT,MI,48219,1300
13426268.568569555878639,338009.119422569870949,5272,22104093.,18130 PATTON,DETROIT,MI,48219,
13427468.161417320370674,333726.719816267490387,5273,22100250.,16400 KENTFIELD,DETROIT,MI,48219,
13427833.666994750499725,336622.588582679629326,5274,22097863.,17344 VAUGHAN,DETROIT,MI,48219,
13425399.885498687624931,339076.118110239505768,5275,22107754.,18440 BURT RD,DETROIT,MI,48219,8800
13427644.446194231510162,335623.908464565873146,5276,22013629-31,20122 W MCNICHOLS,DETROIT,MI,48219,56000
13427614.952755898237228,338142.521653547883034,5277,22098142.,18143 VAUGHAN,DETROIT,MI,48219,
13472858.174212604761124,308757.176181107759476,5278,08006484.,3312 COCHRANE,DETROIT,MI,48208,
13426671.782152235507965,336446.306102365255356,5279,22102692.,17320 FIELDING,DETROIT,MI,48219,11300
13427873.288713917136192,338019.570866137742996,5280,22096178.,18113 EVERGREEN,DETROIT,MI,48219,
13427842.165354326367378,338648.896325454115868,5281,22096160.,18287 EVERGREEN,DETROIT,MI,48219,
13427845.572178483009338,338578.963582679629326,5282,22096162.,18275 EVERGREEN,DETROIT,MI,48219,
13426713.860564306378365,338174.714238852262497,5283,22101621.,18155 STOUT,DETROIT,MI,48219,
13426790.441601052880287,340458.220144361257553,5284,22101445.010,19010 STOUT,DETROIT,MI,48219,
13425956.20833332836628,342787.89337269961834,5285,22104272.,19709 PATTON,DETROIT,MI,48219,
13427412.479658797383308,340223.453740164637566,5286,22099342.013,18958 HEYDEN,DETROIT,MI,48219,
13425471.63910761475563,344527.392388448119164,5287,22106729.001,20110 PIERSON,DETROIT,MI,48219,9800
13427256.578412070870399,340056.255249351263046,5288,22099481.,18925 HEYDEN,DETROIT,MI,48219,
13427502.986220479011536,340505.931430444121361,5289,22098087.,19013 VAUGHAN,DETROIT,MI,48219,
13426212.851377949118614,339198.016076117753983,5290,22104124.,18458 PATTON,DETROIT,MI,48219,
13426511.66174541413784,339453.539698168635368,5291,22102766.,18506 FIELDING,DETROIT,MI,48219,
13426525.413713917136192,339366.430446192622185,5292,22102764.,18490 FIELDING,DETROIT,MI,48219,
13425666.170603677630424,339504.744094491004944,5293,22106651-2,18526 PIERSON,DETROIT,MI,48219,
13426948.502952754497528,340123.239501312375069,5294,22100540.,18943 KENTFIELD,DETROIT,MI,48219,
13427232.555446192622185,340575.656824141740799,5295,22099468.,19031 HEYDEN,DETROIT,MI,48219,
13427234.426181107759476,340535.713910758495331,5296,22099469.,19021 HEYDEN,DETROIT,MI,48219,
13427238.076115489006042,340455.915354326367378,5297,22099471.,19007 HEYDEN,DETROIT,MI,48219,
13427241.812664046883583,340375.942913383245468,5298,22099473.,18991 HEYDEN,DETROIT,MI,48219,
13427243.677165359258652,340336.04166667163372,5299,22099474.,18981 HEYDEN,DETROIT,MI,48219,
13425830.822178483009338,343276.170603677630424,5300,22105462.003L,19812 BRAILE,DETROIT,MI,48219,
13425836.11089238524437,343143.27755905687809,5301,22105461.,19780 BRAILE,DETROIT,MI,48219,9300
13425838.067257210612297,343098.300524935126305,5302,22105460.,19774 BRAILE,DETROIT,MI,48219,6100
13426009.523950129747391,340209.391076117753983,5303,22104326.,18969 PATTON,DETROIT,MI,48219,
13427504.094816267490387,328541.584973752498627,5304,22100780.,14811 KENTFIELD,DETROIT,MI,48223,
13426090.35236220061779,331061.368110239505768,5305,22106510.,15436 PIERSON,DETROIT,MI,48223,
13427603.358923882246017,329975.61023622751236,5306,22100176.,15126 KENTFIELD,DETROIT,MI,48223,
13427608.056430444121361,329855.741797894239426,5307,22100173.,15100 KENTFIELD,DETROIT,MI,48223,
13426072.01476377248764,315456.311023622751236,5308,22108322.,9060 TRINITY,DETROIT,MI,48228,
13426074.372703418135643,315413.833989500999451,5309,22108321.002L,9054 TRINITY,DETROIT,MI,48228,
13423834.795603677630424,310717.104986876249313,5310,22114039.,7636 ROCKDALE,DETROIT,MI,48239,
13425873.528215229511261,342267.118766397237778,5311,22105441.,19440 BRAILE,DETROIT,MI,48219,
13426160.530183732509613,341621.912073493003845,5312,22104177.,19326 PATTON,DETROIT,MI,48219,
13425885.065616801381111,341973.053477689623833,5313,22105436.,19376 BRAILE,DETROIT,MI,48219,
13426042.137139111757278,339266.661089241504669,5314,22104350.,18475 PATTON,DETROIT,MI,48219,
13427029.125,338398.63484251499176,5315,22100584.,18199 KENTFIELD,DETROIT,MI,48219,
13426400.163057744503021,330951.350065618753433,5316,22105269.,15410 BRAILE,DETROIT,MI,48223,
13426756.447834640741348,332584.270013123750687,5317,22103062.,15873 FIELDING,DETROIT,MI,48219,
13427236.128280833363533,328079.932414695620537,5318,22101820.,14587 STOUT,DETROIT,MI,48223,
13427460.677821516990662,329393.725393697619438,5319,22125742.,10662 W OUTER DRIVE,DETROIT,MI,48223,
13420948.556758522987366,337672.719488188624382,5320,22117085.,17901 REDFERN,DETROIT,MI,48219,
13424183.777230978012085,339811.926509186625481,5321,22110041.,18937 WESTBROOK,DETROIT,MI,48219,
13425006.16732282936573,336768.114501312375069,5322,22108700.,17365 TRINITY,DETROIT,MI,48219,
13423321.913713917136192,334801.137795269489288,5323,22112699.,16840 GREYDALE,DETROIT,MI,48219,
13424692.712270334362984,342502.189304456114769,5324,22108650.012,19497 TRINITY,DETROIT,MI,48219,
13426507.990485563874245,331343.03740157186985,5325,22104508.,15489 PATTON,DETROIT,MI,48223,
13426205.623359575867653,331466.666010499000549,5326,22105675.,15517 BRAILE,DETROIT,MI,48223,
13427849.900262460112572,330633.515748038887978,5327,22099149.,15344 HEYDEN,DETROIT,MI,48223,10028
13427851.593503937125206,330593.525918632745743,5328,22099148.,15340 HEYDEN,DETROIT,MI,48223,16200
13425760.696850389242172,323958.823818892240524,5329,22108359.,12940 TRINITY,DETROIT,MI,48223,
13425290.748359575867653,323832.43503937125206,5330,22109521.,12923 BLACKSTONE,DETROIT,MI,48223,
13422009.182414695620537,310667.585301831364632,5331,22118042.,7645 BRAMELL,DETROIT,MI,48239,
13424389.282808393239975,329015.811679795384407,5332,22124864.,11281 W OUTER DRIVE,DETROIT,MI,48223,
13424840.41174541413784,327590.205380573868752,5333,22010275-6,21300 LYNDON,DETROIT,MI,48223,
13424892.894685044884682,329940.666994750499725,5334,22109737.,15140 WESTBROOK,DETROIT,MI,48223,
13424941.465879261493683,336263.846128612756729,5335,22108713.,17267 TRINITY,DETROIT,MI,48219,
13423097.101377949118614,338861.862860888242722,5336,22112717.,18412 GREYDALE,DETROIT,MI,48219,
13423097.922244101762772,338682.899278208613396,5337,22112714.,18352 GREYDALE,DETROIT,MI,48219,
13423075.776574805378914,338291.332349076867104,5338,22015386.,18270 GREYDALE,DETROIT,MI,48219,
