OBJECTID,GEOID10,GlobalID,OCC_RES,OCC_BUS,VAC_RES,VAC_BUS,TotalAddresses,TotalOCC,TotalVAC,TotRES,TotBUS,PctVAC,Shape__Area,Shape__Length
1077,261635339001002,4211d077-be4f-47df-91d6-c5170d9b7c64,106,2,2,1,111,108,3,108,3,0.027027027027027,359357.458740234,2629.38610213086
1078,261635119001002,c5169ec8-fe0a-4652-9986-7c25d677cd90,56,,16,,72,56,16,72,0,0.222222222222222,209194.624511719,1960.46559211769
1079,261635049001003,8ea9ecb0-1b51-44ba-9af2-912381941713,45,,7,,52,45,7,52,0,0.134615384615385,211142.060546875,1959.92451820179
1080,261635049001002,a8664c2e-74a4-4cfa-9f58-6f5569b08f7c,31,2,7,2,42,33,9,38,4,0.214285714285714,223885.666015625,1997.30400165802
1081,261635049003014,94ce1dd9-aee6-4a21-b24c-35f5004fb1b1,24,,6,,30,24,6,30,0,0.2,190317.685546875,1811.64249142104
1082,261635033003002,75fc6d3f-da6d-448d-9134-564ca747f7be,16,,5,,21,16,5,21,0,0.238095238095238,193260.688964844,1828.45593944239
1083,261635033004007,cf3eb1e6-bdfe-47f8-9e03-6710a11d275a,15,,8,,23,15,8,23,0,0.347826086956522,217968.511230469,1979.84884541426
1084,261635223001025,8ea3b22e-394b-4d94-82cd-5647d31a3c33,4,,2,1,7,4,3,6,1,0.428571428571429,144494.833007813,1577.83578970377
1085,261635223001013,b93d13b0-d09e-4dfd-9509-2b70ab5ee487,15,,3,,18,15,3,18,0,0.166666666666667,185862.10546875,1743.80528564786
1086,261635223001015,70438bd5-81ab-45cf-b8ea-e11404635146,4,,2,,6,4,2,6,0,0.333333333333333,177003.131347656,1708.26881439622
1087,261635223001021,9a16ed94-a7a3-4082-b6c6-566fa1097566,4,1,1,,6,5,1,5,1,0.166666666666667,175239.038330078,1700.99200919116
1088,261635224001025,e37b8369-53db-4319-a672-595921cff62e,15,1,20,,36,16,20,35,1,0.555555555555556,303477.537353516,2387.88072909278
1089,261635223001019,17fe9636-8ed9-4b5e-9619-9e0419dbf444,,1,,,1,1,0,0,1,,531667.166503906,3616.42184208078
1090,261635224002017,48e6d3de-b83c-42a7-ab94-e91336e14103,,1,,,1,1,0,0,1,,347839.459960938,3988.01954085535
1091,261635031001008,4787bacc-6318-4a1f-a7d9-334185faa582,29,,,,29,29,0,29,0,,224917.904296875,2053.95814478706
1092,261635121002010,62799014-3da1-4922-85ad-621f8c901dd2,22,,5,,27,22,5,27,0,0.185185185185185,222336.581054688,1959.37847534775
1093,261635121002018,0f23416a-9c3f-4661-b9a8-6269c0dd158d,23,,13,,36,23,13,36,0,0.361111111111111,173580.143066406,1803.59315216673
1094,261635068003027,f9d122bc-90c8-4a01-9e7c-61f186a74304,10,2,4,1,17,12,5,14,3,0.294117647058824,443278.374511719,2709.12508544137
1095,261635067001000,32136214-f83f-4213-9525-1b4df3f40dc0,,1,,,1,1,0,0,1,,2736270.04931641,7417.6194698441
1096,261635330002012,310c879a-956a-4367-a0a7-acff5a873971,11,16,13,1,41,27,14,24,17,0.341463414634146,375477.845703125,2533.08158826586
1097,261635223002020,72fe3029-6c57-4139-9293-a68707d05cba,15,,37,,52,15,37,52,0,0.711538461538462,159404.341796875,1604.98335638423
1098,261635153002010,0db2f633-7c2a-4e54-9752-125146e6092e,23,1,,,24,24,0,23,1,,144693.559570313,1503.44720089232
1099,261635394003026,b8910f8a-93fe-4591-8bcd-79a8614aee13,27,,,,27,27,0,27,0,,215630.182128906,1971.28550470014
1100,261635104001016,0a68369e-3339-4e7a-ba01-c74bbc013a2f,11,,8,,19,11,8,19,0,0.421052631578947,214094.87109375,2133.1051159366
1101,261635081001008,2f61c8cd-3f2c-4fda-8748-04a29315c397,,1,3,,4,1,3,3,1,0.75,199199.001464844,2043.64739426999
1102,261635371001013,b36eaf3a-4beb-4ae1-b841-d2194fb4fd68,6,,3,2,11,6,5,9,2,0.454545454545455,161662.889648438,1789.33119642685
1103,261635137001018,8d297afa-7afc-4604-bc2e-d1cdc40a5329,16,,,1,17,16,1,16,1,0.0588235294117647,83338.5991210938,1190.36396691903
1104,261635218001018,637099a5-f4d2-4879-9a0b-e952a5dded69,116,,6,,122,116,6,122,0,0.0491803278688525,221264.817871094,1957.89744421275
1105,261635218001002,6fc1c80d-4013-4535-8b6f-c096d2173e9d,29,,,,29,29,0,29,0,,92323.0759277344,1249.17569030247
1106,261635044001002,11bf635e-867a-4515-8bef-beb444ae459f,25,,16,,41,25,16,41,0,0.390243902439024,279952.713378906,2422.99481754476
1107,261635393001016,f93eb889-ecbe-401f-9d2e-964646279b9a,19,,3,,22,19,3,22,0,0.136363636363636,195179.030761719,1904.02140324297
1108,261635393003006,6da28e48-8c31-4c36-982b-d09445554496,24,,,,24,24,0,24,0,,179073.024902344,1811.41485655996
1109,261635393001020,f301b70f-5431-489b-88fc-8dbcf40ae668,22,,1,,23,22,1,23,0,0.0434782608695652,192628.343261719,1854.33260558144
1110,261635389004013,b9471a5d-2f07-47a4-8201-08146646836e,30,,,,30,30,0,30,0,,245449.744140625,2060.55281323526
1111,261635389003011,c0db3425-411b-4b8c-942f-cd42b38a8288,23,,3,,26,23,3,26,0,0.115384615384615,217160.23046875,1952.59410896614
1112,261635068004007,1dc4dd6e-12d6-47fc-a462-f6308d0dad1b,29,,4,,33,29,4,33,0,0.121212121212121,220929.144042969,2178.54508703265
1113,261635068001007,71a25963-1bde-4497-9874-be6abb443fa7,27,,5,,32,27,5,32,0,0.15625,274634.627441406,2321.61267537522
1114,261635047001008,b8d4089a-c1f8-4ce3-a555-940f84b35bb3,10,1,24,1,36,11,25,34,2,0.694444444444444,202433.171386719,1984.21563772107
1115,261635159002008,c804a72c-560b-4508-be6b-19c4eefc72bb,13,,4,,17,13,4,17,0,0.235294117647059,139505.239257813,2046.97329501451
1116,261635161002007,5458d43f-144a-40fd-868c-facb97740a8d,,1,3,,4,1,3,3,1,0.75,149937.758300781,1598.43057468901
1117,261635161002010,ac7b9529-078e-46a5-84ba-ae48d39870da,5,1,1,,7,6,1,6,1,0.142857142857143,186180.980957031,1742.01780791088
1118,261635186001002,0ba0f3d6-ac7d-4dd7-888a-2ed002aef40e,6,,4,1,11,6,5,10,1,0.454545454545455,105592.243896484,1359.54835567776
1119,261635186001007,e3f83906-ae2f-469b-85fb-0167c0c4c395,3,,,,3,3,0,3,0,,107320.572753906,1350.08172112663
1120,261635161002035,390a0a75-15d3-4e4b-95db-8041f3986e25,1,,1,,2,1,1,2,0,0.5,224166.3125,2120.26984599712
1121,261635161001004,1b3848ea-d2af-4988-a403-3545993c4ffb,2,,3,,5,2,3,5,0,0.6,120881.368408203,1416.99463817394
1122,261635213001068,0d347749-50b0-49a0-ac76-b7317c62d58e,,1,,,1,1,0,0,1,,400821.615966797,3030.95970480692
1123,261635214001018,d6f71442-f508-43fa-97a1-c14700e060f5,,1,,,1,1,0,0,1,,109072.169921875,1327.8620039543
1124,261635214001016,7d0fba18-4f17-40ce-8b33-0464537e197d,1,,,,1,1,0,1,0,,128849.786621094,1460.67909542909
1125,261635214001065,a4858ac0-d4b3-449f-8e3c-58d37fe5c81b,4,1,,,5,5,0,4,1,,126760.695556641,1425.60871349667
1126,261635225001025,a5a3878a-77ad-44c2-ad35-7c686e31e8d1,1,,,,1,1,0,1,0,,108821.845947266,1487.32187657641
1127,261635225001036,0b6c105b-9827-4e04-b965-17fbdcd05af1,1,6,,1,8,7,1,1,7,0.125,234922.206054688,3230.79695306648
1128,261635225003019,4493c9b0-4797-4976-973d-4c2a1f7fedd6,1,119,,2,122,120,2,1,121,0.0163934426229508,346381.872558594,2353.10000526463
1129,261635304002009,4b936133-f982-4020-97a8-5c8e8e53c9ca,25,,,,25,25,0,25,0,,195930.762695313,1881.73521721371
1130,261635304001004,e23a7ed2-2330-4d81-a59b-2b8231b9b282,17,,35,,52,17,35,52,0,0.673076923076923,199186.534912109,1892.22003589763
1131,261635305003006,2bb337fe-8bd5-43e7-bea8-ceb978df968c,14,1,33,1,49,15,34,47,2,0.693877551020408,279948.777832031,2732.08483737366
1132,261635341001000,8e4e8459-7350-4f8b-b7de-e698b9cf8af4,12,3,20,5,40,15,25,32,8,0.625,198761.231689453,1954.11780891777
1133,261635341001004,9d32732e-a30b-4283-b887-d5ccfd47949c,69,,51,,120,69,51,120,0,0.425,336191.786865234,2876.176912613
1134,261635305002006,431627e7-a534-421e-aa70-52cdd32a71bb,19,,8,,27,19,8,27,0,0.296296296296296,207479.842041016,2921.28144270615
1135,261635341002012,aadb6ef3-4462-40b4-947e-fc54484e6bf1,37,,1,,38,37,1,38,0,0.0263157894736842,87301.0554199219,1188.12247753516
1136,261635254001009,900ac43a-920b-41b2-88fe-75b5168b1e85,14,,3,,17,14,3,17,0,0.176470588235294,115285.211914063,1381.9898820742
1137,261635257001007,2ca74e4d-430b-4d6f-97e3-0836279fcbb3,9,6,4,1,20,15,5,13,7,0.25,907400.080322266,4157.0208294757
1138,261635033003001,82f53117-07ee-45bd-9423-9de4a76e17eb,19,,6,,25,19,6,25,0,0.24,194264.151367188,1829.93345985993
1139,261635033003000,4ec263b8-260a-43b9-8b78-d947500f4735,15,,8,,23,15,8,23,0,0.347826086956522,185241.840332031,1798.1710522238
1140,261635033003012,34760324-f0af-41e8-8dbb-af0e2869a2b2,12,,8,,20,12,8,20,0,0.4,223735.819824219,1996.98034951909
1141,261635033003015,9bce146f-dade-466b-b39b-91863db7c2c0,26,1,1,,28,27,1,27,1,0.0357142857142857,210918.963867188,1958.67689434672
1142,261635035003004,2cf079fa-1561-41d1-9bdf-e55c7f4acfa6,22,1,2,2,27,23,4,24,3,0.148148148148148,211275.29296875,1960.30736299373
1143,261635035005008,a80af787-fa31-457b-a700-00ef26ce7000,6,,5,,11,6,5,11,0,0.454545454545455,118747.704101563,1368.54538914092
